REFINV;NOMBRE;DESCRIPCION;CREDITO;DISPLAY;UNIDAD
;1 NESTLE DE COLOMBIA S.A.;1 NESTLE DE COLOMBIA S.A.;;;
;1 CALDOS MAGGUI;1 CALDOS MAGGUI;;;
12331515;CALDO MAGGI COST/ESPEC DESME X36X30X9GR;CALDO MAGGI COST/ESPEC DESME X36X30X9GR;255300;0;7250
12339442;CALDO MAGGI COSTILLA/ESP+8C GALL CJ36X30;CALDO MAGGI COSTILLA/ESP+8C GALL CJ36X30;255300;0;7250
12313504;CALDO MAGGI ESPECIAS DESME CJX36X30X9GR;CALDO MAGGI ESPECIAS DESME CJX36X30X9GR;2211800;0;62800
12378940;CALDO MAGGI GALLINA 24X54 CUBOS CANALETA;CALDO MAGGI GALLINA 24X54 CUBOS CANALETA;301500;12850;300
12251894;CALDO MAGGI GALLINA 27DISPX12 GT 2 CUBOS;CALDO MAGGI GALLINA 27DISPX12 GT 2 CUBOS;86900;0;3300
12064544;CALDO MAGGI GALLINA CJX12X24 CUBOS;CALDO MAGGI GALLINA CJX12X24 CUBOS;75500;0;6450
12378941;CALDO MAGGI GALLINA CJX24X P48 LL54CUBOS;CALDO MAGGI GALLINA CJX24X P48 LL54CUBOS;268000;0;11400
12170981;CALDO MAGGI GALLINA CJX27DISPX12;CALDO MAGGI GALLINA CJX27DISPX12;86900;0;3400
12251895;CALDO MAGGI GALLINA CJX36X8 P8 L10;CALDO MAGGI GALLINA CJX36X8 P8 L10;78100;26600;2200
12171469;CALDO MAGGI GALLINA CJX8X165;CALDO MAGGI GALLINA CJX8X165;293200;0;37500
12370757;CALDO MAGGI PAG 250 LL 266 CJX4;CALDO MAGGI PAG 250 LL 266 CJX4;218500;0;55850
01090141;COMBO DOØA GALLINAX96+12SOBREGTSCJX12;COMBO DOØA GALLINAX96+12SOBREGTSCJX12;280150;0;24700
12166837;SAZONATODO MAGGI CJX45X90GR;SAZONATODO MAGGI CJX45X90GR;91600;0;2100
;2 CREMAS MAGGUI;2 CREMAS MAGGUI;;;
8800570;CREMA MAGGI GOURMET CHAMPIØONES CJX24;CREMA MAGGI GOURMET CHAMPIØONES CJX24;54600;27900;2300
8800571;CREMA MAGGI GOURMET POLLO CJX24X76GR;CREMA MAGGI GOURMET POLLO CJX24X76GR;54600;27900;2300
8800574;CREMA MAGGI GOURMET POLLO/CHAMPIÑ CJX24;CREMA MAGGI GOURMET POLLO/CHAMPIÑ CJX24;54600;27900;2300
8800584;CREMA MAGGUI CHOCLO DISPX24X100GR;CREMA MAGGUI CHOCLO DISPX24X100GR;38400;19600;1650
;3 SOPAS MAGGUI;3 SOPAS MAGGUI;;;
12056094;SOPA CLARA MAGGUI COST/FIDE DISPX24X65GR;SOPA CLARA MAGGUI COST/FIDE DISPX24X65GR;27350;0;1200
12056092;SOPA CLARA MAGGUI GALLINA/FIDEOS CJX24;SOPA CLARA MAGGUI GALLINA/FIDEOS CJX24;27350;0;1200
12057297;SOPA CLARA MAGGUI/ARROZ DISPX24X65GR;SOPA CLARA MAGGUI/ARROZ DISPX24X65GR;27350;0;1200
12291770;SOPA MAGGI AJIACO DISPX24X90GR;SOPA MAGGI AJIACO DISPX24X90GR;38400;0;1650
8800578;SOPA MAGGI MARINERA CJX24 SOBRES;SOPA MAGGI MARINERA CJX24 SOBRES;54350;27950;2350
12291749;SOPA MAGGI SANCOCHO DISPX24X90GR;SOPA MAGGI SANCOCHO DISPX24X90GR;38400;0;1650
;4 BASES /DELICIAS MAGGI;4 BASES /DELICIAS MAGGI;;;
12056143;BASE P/SALSA BOLOGNESA DISPX24X50GR;BASE P/SALSA BOLOGNESA DISPX24X50GR;56250;28750;2400
8800601;DELICIA MAGGI P/BECHAMEL CJX24 SOBRES;DELICIA MAGGI P/BECHAMEL CJX24 SOBRES;56250;28750;2400
8800594;DELICIA MAGGI P/GULASH DISPX24 SOBRES;DELICIA MAGGI P/GULASH DISPX24 SOBRES;56250;28750;2400
;6 SAZONATODO MAGGI;6 SAZONATODO MAGGI;;;
12370934;SAZONADOR MAGGI NATURISIMO CJX12X180GR;SAZONADOR MAGGI NATURISIMO CJX12X180GR;68550;0;5850
12076563;SAZONATODO MAGGI CJX36X200GR;SAZONATODO MAGGI CJX36X200GR;122700;41800;3500
;7 LECHES KLIM;7 LECHES KLIM;;;
8806554;LECHE KLIM 1+ BDJAX6X1700GR;LECHE KLIM 1+ BDJAX6X1700GR;267000;0;45500
12351966;LECHE KLIM 1+ DHA BDJAX6X1700GR;LECHE KLIM 1+ DHA BDJAX6X1700GR;267000;0;45500
12351617;LECHE KLIM 1+ DHA CJX30X500GR;LECHE KLIM 1+ DHA CJX30X500GR;389100;0;13300
